cell_id,occurrence_count,dataset_count,gap_priority_score,gap_priority_label,no_evidence,neighbor_evidence,recency_deficit,uncertainty_burden,source_diversity_gap,reasons
grid:4:0:0,32,3,32.19,Low priority,0.0,1.0,0.0,0.8125,0.0,Neighboring cells contain occurrence evidence; Coordinate uncertainty burdens cell interpretation
grid:4:0:1,24,1,37.0,Medium priority for survey,0.0,0.8,0.0,1.0,0.6,Neighboring cells contain occurrence evidence; Coordinate uncertainty burdens cell interpretation; Dataset/source diversity is low
grid:4:0:2,0,0,81.0,High priority for survey,1.0,0.8,1.0,0.0,1.0,No GBIF-mediated records returned after filters; Neighboring cells contain occurrence evidence; Recent temporal evidence is weak or missing; Dataset/source diversity is low
grid:4:0:3,0,0,78.33,High priority for survey,1.0,0.6667,1.0,0.0,1.0,No GBIF-mediated records returned after filters; Neighboring cells contain occurrence evidence; Recent temporal evidence is weak or missing; Dataset/source diversity is low
grid:4:1:0,16,3,22.31,Low priority,0.0,0.6,0.0,0.6875,0.0,Neighboring cells contain occurrence evidence; Coordinate uncertainty burdens cell interpretation
grid:4:1:1,223,5,20.49,Low priority,0.0,0.5,0.0,0.6996,0.0,Neighboring cells contain occurrence evidence; Coordinate uncertainty burdens cell interpretation
grid:4:1:2,4,1,28.5,Low priority,0.0,0.375,0.0,1.0,0.6,Neighboring cells contain occurrence evidence; Coordinate uncertainty burdens cell interpretation; Dataset/source diversity is low
grid:4:1:3,1,1,41.75,Medium priority for survey,0.0,0.2,0.05,1.0,0.6,Occupied cell remains below sampling coverage threshold; Coordinate uncertainty burdens cell interpretation; Dataset/source diversity is low
grid:4:2:0,0,0,73.0,High priority for survey,1.0,0.4,1.0,0.0,1.0,No GBIF-mediated records returned after filters; Neighboring cells contain occurrence evidence; Recent temporal evidence is weak or missing; Dataset/source diversity is low
grid:4:2:1,0,0,72.5,High priority for survey,1.0,0.375,1.0,0.0,1.0,No GBIF-mediated records returned after filters; Neighboring cells contain occurrence evidence; Recent temporal evidence is weak or missing; Dataset/source diversity is low
grid:4:2:2,0,0,72.5,High priority for survey,1.0,0.375,1.0,0.0,1.0,No GBIF-mediated records returned after filters; Neighboring cells contain occurrence evidence; Recent temporal evidence is weak or missing; Dataset/source diversity is low
grid:4:2:3,0,0,73.0,High priority for survey,1.0,0.4,1.0,0.0,1.0,No GBIF-mediated records returned after filters; Neighboring cells contain occurrence evidence; Recent temporal evidence is weak or missing; Dataset/source diversity is low
grid:4:3:0,0,0,65.0,High priority for survey,1.0,0.0,1.0,0.0,1.0,No GBIF-mediated records returned after filters; Recent temporal evidence is weak or missing; Dataset/source diversity is low
grid:4:3:1,0,0,65.0,High priority for survey,1.0,0.0,1.0,0.0,1.0,No GBIF-mediated records returned after filters; Recent temporal evidence is weak or missing; Dataset/source diversity is low
grid:4:3:2,0,0,65.0,High priority for survey,1.0,0.0,1.0,0.0,1.0,No GBIF-mediated records returned after filters; Recent temporal evidence is weak or missing; Dataset/source diversity is low
grid:4:3:3,0,0,65.0,High priority for survey,1.0,0.0,1.0,0.0,1.0,No GBIF-mediated records returned after filters; Recent temporal evidence is weak or missing; Dataset/source diversity is low
