cell_id,occurrence_count,dataset_count,gap_priority_score,gap_priority_label,no_evidence,neighbor_evidence,recency_deficit,uncertainty_burden,source_diversity_gap,reasons
grid:4:0:0,0,0,78.33,High priority for survey,1.0,0.6667,1.0,0.0,1.0,No GBIF-mediated records returned after filters; Neighboring cells contain occurrence evidence; Recent temporal evidence is weak or missing; Dataset/source diversity is low
grid:4:0:1,0,0,77.0,High priority for survey,1.0,0.6,1.0,0.0,1.0,No GBIF-mediated records returned after filters; Neighboring cells contain occurrence evidence; Recent temporal evidence is weak or missing; Dataset/source diversity is low
grid:4:0:2,0,0,81.0,High priority for survey,1.0,0.8,1.0,0.0,1.0,No GBIF-mediated records returned after filters; Neighboring cells contain occurrence evidence; Recent temporal evidence is weak or missing; Dataset/source diversity is low
grid:4:0:3,1,1,61.08,High priority for survey,0.0,0.6667,0.55,1.0,0.6,Occupied cell remains below sampling coverage threshold; Neighboring cells contain occurrence evidence; Recent temporal evidence is weak or missing; Coordinate uncertainty burdens cell interpretation; Dataset/source diversity is low
grid:4:1:0,1,1,64.75,High priority for survey,0.0,0.4,1.0,1.0,0.6,Occupied cell remains below sampling coverage threshold; Neighboring cells contain occurrence evidence; Recent temporal evidence is weak or missing; Coordinate uncertainty burdens cell interpretation; Dataset/source diversity is low
grid:4:1:1,1,1,39.75,Medium priority for survey,0.0,0.5,0.4,0.0,0.6,Occupied cell remains below sampling coverage threshold; Neighboring cells contain occurrence evidence; Dataset/source diversity is low
grid:4:1:2,1,1,39.25,Medium priority for survey,0.0,0.625,0.25,0.0,0.6,Occupied cell remains below sampling coverage threshold; Neighboring cells contain occurrence evidence; Dataset/source diversity is low
grid:4:1:3,1,1,43.75,Medium priority for survey,0.0,0.6,0.5,0.0,0.6,Occupied cell remains below sampling coverage threshold; Neighboring cells contain occurrence evidence; Recent temporal evidence is weak or missing; Dataset/source diversity is low
grid:4:2:0,0,0,81.0,High priority for survey,1.0,0.8,1.0,0.0,1.0,No GBIF-mediated records returned after filters; Neighboring cells contain occurrence evidence; Recent temporal evidence is weak or missing; Dataset/source diversity is low
grid:4:2:1,2,1,47.25,Medium priority for survey,0.0,0.75,0.15,0.5,0.6,Occupied cell remains below sampling coverage threshold; Neighboring cells contain occurrence evidence; Coordinate uncertainty burdens cell interpretation; Dataset/source diversity is low
grid:4:2:2,2,2,53.25,Medium priority for survey,0.0,0.75,0.6,0.5,0.3,Occupied cell remains below sampling coverage threshold; Neighboring cells contain occurrence evidence; Recent temporal evidence is weak or missing; Coordinate uncertainty burdens cell interpretation
grid:4:2:3,0,0,81.0,High priority for survey,1.0,0.8,1.0,0.0,1.0,No GBIF-mediated records returned after filters; Neighboring cells contain occurrence evidence; Recent temporal evidence is weak or missing; Dataset/source diversity is low
grid:4:3:0,0,0,78.33,High priority for survey,1.0,0.6667,1.0,0.0,1.0,No GBIF-mediated records returned after filters; Neighboring cells contain occurrence evidence; Recent temporal evidence is weak or missing; Dataset/source diversity is low
grid:4:3:1,1,1,46.75,Medium priority for survey,0.0,0.6,0.65,0.0,0.6,Occupied cell remains below sampling coverage threshold; Neighboring cells contain occurrence evidence; Recent temporal evidence is weak or missing; Dataset/source diversity is low
grid:4:3:2,2,1,34.75,Low priority,0.0,0.6,0.05,0.0,0.6,Occupied cell remains below sampling coverage threshold; Neighboring cells contain occurrence evidence; Dataset/source diversity is low
grid:4:3:3,0,0,78.33,High priority for survey,1.0,0.6667,1.0,0.0,1.0,No GBIF-mediated records returned after filters; Neighboring cells contain occurrence evidence; Recent temporal evidence is weak or missing; Dataset/source diversity is low
